"","GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
"184371","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.1_1","Agui",NA,"阿久比町","Machi","Town",NA,NA
"184192","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.2_1","Aisai",NA,"愛西市","Shi","City",NA,NA
"184345","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.3_1","Anjō",NA,"安城市","Shi","City",NA,NA
"184339","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.4_1","Chiryū",NA,"知立市","Shi","City",NA,NA
"184343","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.5_1","Chita",NA,"知多市","Shi","City",NA,"JP.AI.CG"
"184090","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.6_1","Fusō",NA,"扶桑町","Machi","Town",NA,NA
"184440","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.7_1","Gamagōri",NA,"蒲郡市","Shi","City",NA,NA
"184393","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.8_1","Handa",NA,"半田市","Shi","City",NA,"JP.AI.HD"
"184185","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.9_1","Haruhi",NA,"春日町","Machi","Town",NA,"JP.AI.HG"
"184467","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.10_1","Hazu",NA,"幡豆町","Machi","Town",NA,"JP.AI.HZ"
"184409","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.11_1","Hekinan",NA,"碧南市","Shi","City",NA,"JP.AI.HN"
"184351","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.12_1","Higashiura",NA,"東浦町","Machi","Town",NA,NA
"184098","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.13_1","Ichinomiya/Owari-ichinomiya",NA,"一宮市","Shi","City",NA,"JP.AI.IC"
"184172","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.14_1","Inazawa",NA,"稲沢市","Shi","City",NA,"JP.AI.IZ"
"184062","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.15_1","Inuyama",NA,"犬山市","Shi","City",NA,"JP.AI.IY"
"184465","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.16_1","Isshiki",NA,"一色町","Machi","Town",NA,NA
"184159","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.17_1","Iwakura",NA,"岩倉市","Shi","City",NA,"JP.AI.IW"
"184202","JPN","Japan","JPN.1_1","Aichi","愛知県","JPN.1.18_1","Jimokuji",NA,"甚目寺町","Machi","Town",NA,NA
